"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.233600000E-3,-2.190694511E-1,9.810241699E0,-3.435679376E-1
1.110685000E-2,-2.226607651E-1,9.798270226E0,-3.423708379E-1
2.106897500E-2,-2.142810524E-1,9.812635422E0,-3.399766386E-1
3.133153700E-2,-2.142810524E-1,9.805453300E0,-3.292027414E-1
4.130181800E-2,-2.214636505E-1,9.807847023E0,-3.351882398E-1
5.122745900E-2,-2.238578647E-1,9.807847023E0,-3.471592367E-1
6.141677900E-2,-2.166752517E-1,9.803058624E0,-3.411737382E-1
7.115393900E-2,-2.166752517E-1,9.803058624E0,-3.399766386E-1
8.104051900E-2,-2.166752517E-1,9.817423820E0,-3.531447649E-1
9.103580900E-2,-2.130839527E-1,9.798270226E0,-3.435679376E-1
1.010549540E-1,-2.190694511E-1,9.795876503E0,-3.483563364E-1
1.109975270E-1,-2.166752517E-1,9.800664902E0,-3.459621370E-1
1.209528130E-1,-2.190694511E-1,9.798270226E0,-3.447650373E-1
1.309209560E-1,-2.250549644E-1,9.809044838E0,-3.435679376E-1
1.409085280E-1,-2.262520641E-1,9.805453300E0,-3.471592367E-1
1.509073140E-1,-2.178723514E-1,9.807847023E0,-3.483563364E-1
1.608992070E-1,-2.142810524E-1,9.807847023E0,-3.435679376E-1
1.709601530E-1,-2.178723514E-1,9.803058624E0,-3.423708379E-1
1.809151260E-1,-2.238578647E-1,9.799467087E0,-3.435679376E-1
1.909981130E-1,-2.166752517E-1,9.794678688E0,-3.435679376E-1
2.009706060E-1,-2.190694511E-1,9.810241699E0,-3.423708379E-1
2.109333530E-1,-2.214636505E-1,9.811438560E0,-3.387795389E-1
2.210087260E-1,-2.214636505E-1,9.798270226E0,-3.507505357E-1
2.310139130E-1,-2.214636505E-1,9.797073364E0,-3.471592367E-1
2.409545060E-1,-2.226607651E-1,9.809044838E0,-3.459621370E-1
2.509813030E-1,-2.178723514E-1,9.794678688E0,-3.375824392E-1
2.609627010E-1,-2.142810524E-1,9.800664902E0,-3.531447649E-1
2.710674000E-1,-2.214636505E-1,9.806650162E0,-3.447650373E-1
2.810107500E-1,-2.106897533E-1,9.804255486E0,-3.435679376E-1
2.909499250E-1,-2.166752517E-1,9.803058624E0,-3.351882398E-1
3.009060120E-1,-2.202665508E-1,9.804255486E0,-3.507505357E-1
3.109440560E-1,-2.238578647E-1,9.815030098E0,-3.315969408E-1
3.209610780E-1,-2.118868530E-1,9.807847023E0,-3.519476354E-1
3.309265890E-1,-2.178723514E-1,9.798270226E0,-3.327940404E-1
3.409093440E-1,-2.262520641E-1,9.805453300E0,-3.483563364E-1
3.509022220E-1,-2.226607651E-1,9.799467087E0,-3.351882398E-1
3.608901610E-1,-2.106897533E-1,9.805453300E0,-3.387795389E-1
3.710881300E-1,-2.154781520E-1,9.809044838E0,-3.411737382E-1
3.809696150E-1,-2.214636505E-1,9.806650162E0,-3.387795389E-1
3.910068570E-1,-2.190694511E-1,9.795876503E0,-3.387795389E-1
4.010829780E-1,-2.130839527E-1,9.795876503E0,-3.447650373E-1
4.110870390E-1,-2.262520641E-1,9.807847023E0,-3.471592367E-1
4.209840690E-1,-2.310404629E-1,9.799467087E0,-3.423708379E-1
4.310450840E-1,-2.166752517E-1,9.805453300E0,-3.423708379E-1
4.409535920E-1,-2.166752517E-1,9.809044838E0,-3.399766386E-1
4.509083460E-1,-2.106897533E-1,9.811438560E0,-3.423708379E-1
4.608982230E-1,-2.310404629E-1,9.798270226E0,-3.363853395E-1
4.708791610E-1,-2.190694511E-1,9.803058624E0,-3.375824392E-1
4.809291300E-1,-2.226607651E-1,9.804255486E0,-3.483563364E-1
4.909246150E-1,-2.154781520E-1,9.807847023E0,-3.435679376E-1
5.009473570E-1,-2.142810524E-1,9.809044838E0,-3.411737382E-1
5.109237280E-1,-2.202665508E-1,9.809044838E0,-3.435679376E-1
5.209679140E-1,-2.190694511E-1,9.805453300E0,-3.399766386E-1
5.309295070E-1,-2.142810524E-1,9.804255486E0,-3.483563364E-1
5.409153030E-1,-2.238578647E-1,9.805453300E0,-3.519476354E-1
5.508922010E-1,-2.094926536E-1,9.801861763E0,-3.375824392E-1
5.609276500E-1,-2.154781520E-1,9.800664902E0,-3.507505357E-1
5.710363750E-1,-2.214636505E-1,9.801861763E0,-3.387795389E-1
5.809552370E-1,-2.238578647E-1,9.807847023E0,-3.411737382E-1
5.910411680E-1,-2.250549644E-1,9.804255486E0,-3.411737382E-1
6.009816340E-1,-2.154781520E-1,9.803058624E0,-3.459621370E-1
6.109903670E-1,-2.262520641E-1,9.815030098E0,-3.507505357E-1
6.210062330E-1,-2.142810524E-1,9.804255486E0,-3.351882398E-1
6.311036660E-1,-2.178723514E-1,9.794678688E0,-3.351882398E-1
6.409898830E-1,-2.154781520E-1,9.801861763E0,-3.363853395E-1
6.509494910E-1,-2.190694511E-1,9.809044838E0,-3.459621370E-1
6.609247950E-1,-2.142810524E-1,9.810241699E0,-3.471592367E-1
6.709019470E-1,-2.166752517E-1,9.807847023E0,-3.375824392E-1
6.810595230E-1,-2.106897533E-1,9.806650162E0,-3.363853395E-1
6.924763110E-1,-2.190694511E-1,9.807847023E0,-3.375824392E-1
7.017337050E-1,-2.214636505E-1,9.798270226E0,-3.459621370E-1
7.113239020E-1,-2.238578647E-1,9.800664902E0,-3.411737382E-1
7.210910010E-1,-2.190694511E-1,9.797073364E0,-3.459621370E-1
7.309925500E-1,-2.238578647E-1,9.804255486E0,-3.339911401E-1
7.409638250E-1,-2.178723514E-1,9.805453300E0,-3.447650373E-1
7.512014620E-1,-2.202665508E-1,9.795876503E0,-3.471592367E-1
7.611572810E-1,-2.130839527E-1,9.798270226E0,-3.447650373E-1
7.710471900E-1,-2.166752517E-1,9.806650162E0,-3.351882398E-1
7.810941450E-1,-2.142810524E-1,9.804255486E0,-3.447650373E-1
