"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.455025000E-3,-2.334346622E-1,5.626374111E-2,9.610325813E0
1.320552500E-2,-2.418143749E-1,5.746084079E-2,9.611522675E0
2.313077500E-2,-2.406172752E-1,6.703764945E-2,9.612719536E0
3.337490000E-2,-2.454056740E-1,5.386953801E-2,9.615114212E0
4.314346200E-2,-2.382230759E-1,5.746084079E-2,9.606734276E0
5.312824300E-2,-2.358288616E-1,6.224924326E-2,9.610325813E0
6.298113400E-2,-2.430114746E-1,5.746084079E-2,9.609128952E0
7.300907900E-2,-2.454056740E-1,6.105214357E-2,9.609128952E0
8.291605200E-2,-2.394201756E-1,7.422025502E-2,9.611522675E0
9.285603800E-2,-2.322375625E-1,5.626374111E-2,9.595960617E0
1.028830310E-1,-2.322375625E-1,6.464344263E-2,9.609128952E0
1.128530280E-1,-2.298433632E-1,5.865794048E-2,9.604340553E0
1.228450260E-1,-2.334346622E-1,6.703764945E-2,9.610325813E0
1.328375250E-1,-2.310404629E-1,6.224924326E-2,9.612719536E0
1.429762750E-1,-2.322375625E-1,5.386953801E-2,9.597157478E0
1.528766500E-1,-2.346317619E-1,5.626374111E-2,9.604340553E0
1.628493370E-1,-2.418143749E-1,6.105214357E-2,9.601945877E0
1.727991810E-1,-2.334346622E-1,5.746084079E-2,9.616311073E0
1.827776030E-1,-2.394201756E-1,5.865794048E-2,9.598354340E0
1.928713140E-1,-2.370259613E-1,5.746084079E-2,9.603142738E0
2.028536690E-1,-2.322375625E-1,6.703764945E-2,9.609128952E0
2.128203470E-1,-2.286462635E-1,6.344634295E-2,9.613917351E0
2.228416860E-1,-2.334346622E-1,5.027823523E-2,9.610325813E0
2.328058550E-1,-2.370259613E-1,5.746084079E-2,9.606734276E0
2.428459400E-1,-2.370259613E-1,5.746084079E-2,9.612719536E0
2.527994820E-1,-2.358288616E-1,5.626374111E-2,9.611522675E0
2.628377530E-1,-2.274491638E-1,6.584054977E-2,9.603142738E0
2.728208890E-1,-2.358288616E-1,5.626374111E-2,9.610325813E0
2.828424570E-1,-2.406172752E-1,5.746084079E-2,9.603142738E0
2.929052410E-1,-2.370259613E-1,5.506663769E-2,9.613917351E0
3.028286330E-1,-2.358288616E-1,5.147533491E-2,9.611522675E0
3.128643290E-1,-2.442085743E-1,6.344634295E-2,9.618705750E0
3.228726770E-1,-2.334346622E-1,5.027823523E-2,9.604340553E0
3.328363510E-1,-2.358288616E-1,5.386953801E-2,9.604340553E0
3.428736880E-1,-2.430114746E-1,5.865794048E-2,9.605537415E0
